Youtube ID,Video Codec,Audio Codec,Width,Height,FPS,Extension,Format
hYLUBr4tzq4,vp9,none,192,144,1,webm,278 - 192x144 (DASH video)
hYLUBr4tzq4,avc1.4d400c,none,192,144,15,mp4,160 - 192x144 (DASH video)
hYLUBr4tzq4,vp9,none,320,240,1,webm,242 - 320x240 (DASH video)
hYLUBr4tzq4,avc1.4d400d,none,320,240,30,mp4,133 - 320x240 (DASH video)
hYLUBr4tzq4,vp9,none,480,360,1,webm,243 - 480x360 (DASH video)
hYLUBr4tzq4,avc1.4d401e,none,480,360,30,mp4,134 - 480x360 (DASH video)
hYLUBr4tzq4,vp9,none,640,480,1,webm,244 - 640x480 (DASH video)
hYLUBr4tzq4,avc1.4d401e,none,640,480,30,mp4,135 - 640x480 (DASH video)
hYLUBr4tzq4,mp4v.20.3, mp4a.40.2,320,,0,3gp,36 - 320x? (small)
hYLUBr4tzq4,mp4v.20.3, mp4a.40.2,176,144,0,3gp,17 - 176x144 (small)
hYLUBr4tzq4,h263,mp3,400,240,0,flv,5 - 400x240 (small)
hYLUBr4tzq4,vp8.0, vorbis,640,360,0,webm,43 - 640x360 (medium)
hYLUBr4tzq4,avc1.42001E, mp4a.40.2,640,360,0,mp4,18 - 640x360 (medium)
4rtoQzPM_KA,avc1.4d400c,none,256,144,13,mp4,160 - 256x144 (DASH video)
4rtoQzPM_KA,vp9,none,426,240,1,webm,242 - 426x240 (DASH video)
4rtoQzPM_KA,avc1.4d4015,none,426,240,25,mp4,133 - 426x240 (DASH video)
4rtoQzPM_KA,vp9,none,640,360,1,webm,243 - 640x360 (DASH video)
4rtoQzPM_KA,avc1.4d401e,none,640,360,25,mp4,134 - 640x360 (DASH video)
4rtoQzPM_KA,vp9,none,854,480,1,webm,244 - 854x480 (DASH video)
4rtoQzPM_KA,avc1.4d401e,none,854,480,25,mp4,135 - 854x480 (DASH video)
4rtoQzPM_KA,vp9,none,1280,720,1,webm,247 - 1280x720 (DASH video)
4rtoQzPM_KA,avc1.4d401f,none,1280,720,25,mp4,136 - 1280x720 (DASH video)
4rtoQzPM_KA,vp9,none,1920,1080,1,webm,248 - 1920x1080 (DASH video)
4rtoQzPM_KA,avc1.640028,none,1920,1080,25,mp4,137 - 1920x1080 (DASH video)
4rtoQzPM_KA,mp4v.20.3, mp4a.40.2,320,,0,3gp,36 - 320x? (small)
4rtoQzPM_KA,mp4v.20.3, mp4a.40.2,176,144,0,3gp,17 - 176x144 (small)
4rtoQzPM_KA,h263,mp3,400,240,0,flv,5 - 400x240 (small)
4rtoQzPM_KA,vp8.0, vorbis,640,360,0,webm,43 - 640x360 (medium)
4rtoQzPM_KA,avc1.42001E, mp4a.40.2,640,360,0,mp4,18 - 640x360 (medium)
4rtoQzPM_KA,avc1.64001F, mp4a.40.2,1280,720,0,mp4,22 - 1280x720 (hd720)
